INFO:root:cuda_device : 4
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : unknown
m : TSD
prev_z_method : separate
dataset : camrest
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (9, 1, 5)
lr : 0.003
lr_decay : 0.5
layer_num : 1
z_length : 16
max_ts : 50
early_stop_count : 5
cuda : True
vocab_path : ./vocab/vocab-multiwoz_sys.pkl
data : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/rest_sys.json
entity : ./data/multi_woz/ontology.json
db : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/restaurant_db.json
model_path : ./models/multiwoz_sys915.pkl
result_path : ./results/multiwoz_sys.csv
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 5
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
spv_proportion : 100
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False

INFO:root:Device: 4
INFO:root:761 known embedding. old mean: 0.009919 new mean 0.039230, old std 1.000853 new std 0.688702
INFO:root:loss:5.224920272827148 pr_loss:0.9256883859634399 m_loss:4.299232006072998 grad:2.213794050310847
INFO:root:loss:5.15932035446167 pr_loss:0.7839534878730774 m_loss:4.375366687774658 grad:2.0288200572654644
INFO:root:loss:5.171285629272461 pr_loss:0.7763075828552246 m_loss:4.394978046417236 grad:1.8512761562538778
INFO:root:loss:4.907666206359863 pr_loss:0.5719764828681946 m_loss:4.335689544677734 grad:1.192029389854825
INFO:root:loss:4.808896064758301 pr_loss:0.42545297741889954 m_loss:4.3834428787231445 grad:1.3236307900210653
INFO:root:loss:3.952423572540283 pr_loss:0.36069560050964355 m_loss:3.5917279720306396 grad:2.790274590528462
INFO:root:loss:5.273611068725586 pr_loss:0.7255215048789978 m_loss:4.548089504241943 grad:4.6002181218627545
INFO:root:loss:4.610424041748047 pr_loss:0.840834379196167 m_loss:3.76958966255188 grad:7.764741402610605
INFO:root:loss:4.563899993896484 pr_loss:0.279731810092926 m_loss:4.284168243408203 grad:1.9667884363596873
INFO:root:loss:4.509723663330078 pr_loss:0.278868168592453 m_loss:4.230855464935303 grad:3.325786583192178
INFO:root:loss:4.572928428649902 pr_loss:0.19845537841320038 m_loss:4.3744730949401855 grad:2.5630704911081743
INFO:root:loss:4.89466667175293 pr_loss:0.1436578333377838 m_loss:4.751008987426758 grad:3.4286342493187822
INFO:root:loss:4.851770401000977 pr_loss:0.4354396164417267 m_loss:4.416330814361572 grad:4.160396820456574
INFO:root:loss:3.827122211456299 pr_loss:0.10015150904655457 m_loss:3.726970672607422 grad:2.164237880097166
INFO:root:loss:3.862131118774414 pr_loss:0.099144846200943 m_loss:3.762986183166504 grad:2.3555500563147658
INFO:root:loss:4.608631134033203 pr_loss:0.42848894000053406 m_loss:4.180142402648926 grad:1.0980278159935155
INFO:root:loss:5.276878356933594 pr_loss:0.8906813263893127 m_loss:4.386197090148926 grad:2.452041475218389
INFO:root:loss:5.289346218109131 pr_loss:0.9439349174499512 m_loss:4.34541130065918 grad:2.7724471608489396
INFO:root:loss:4.961919784545898 pr_loss:0.6502764821052551 m_loss:4.311643123626709 grad:2.289229802328765
INFO:root:loss:4.46536922454834 pr_loss:0.41320767998695374 m_loss:4.052161693572998 grad:1.7342781292960374
INFO:root:loss:5.0361528396606445 pr_loss:0.6329665184020996 m_loss:4.403186321258545 grad:1.687838561337077
INFO:root:loss:4.983576774597168 pr_loss:0.7079082727432251 m_loss:4.275668621063232 grad:1.7140843457493642
INFO:root:loss:4.837402820587158 pr_loss:0.7309054136276245 m_loss:4.106497287750244 grad:2.3317190653552644
INFO:root:loss:4.522807598114014 pr_loss:0.45097821950912476 m_loss:4.071829319000244 grad:1.7849346115479545
INFO:root:loss:4.782406330108643 pr_loss:0.5687862634658813 m_loss:4.213620185852051 grad:1.7627957168244752
INFO:root:loss:4.312401294708252 pr_loss:0.4276512563228607 m_loss:3.8847498893737793 grad:1.6958268434497812
INFO:root:loss:4.516880035400391 pr_loss:0.36886197328567505 m_loss:4.148017883300781 grad:1.262613280691422
INFO:root:loss:4.631319046020508 pr_loss:0.2245146632194519 m_loss:4.40680456161499 grad:1.1769883410286617
INFO:root:loss:4.699028015136719 pr_loss:0.3201063871383667 m_loss:4.3789215087890625 grad:1.3199271291235903
INFO:root:loss:4.791013240814209 pr_loss:0.492279976606369 m_loss:4.298733234405518 grad:1.3743872700508788
INFO:root:loss:4.995850563049316 pr_loss:0.8309845924377441 m_loss:4.164865970611572 grad:1.7959689967404677
INFO:root:loss:4.896172046661377 pr_loss:0.4606376886367798 m_loss:4.435534477233887 grad:1.6448974958455458
INFO:root:loss:4.446486949920654 pr_loss:0.31918013095855713 m_loss:4.127306938171387 grad:1.650963167325892
INFO:root:loss:4.53486967086792 pr_loss:0.5091131925582886 m_loss:4.025756359100342 grad:1.1052904277595268
INFO:root:loss:4.845461845397949 pr_loss:0.7408113479614258 m_loss:4.104650497436523 grad:2.67430471107144
INFO:root:loss:4.185144424438477 pr_loss:0.28966426849365234 m_loss:3.895479917526245 grad:1.277468604585476
INFO:root:loss:4.533993244171143 pr_loss:0.5108994245529175 m_loss:4.0230937004089355 grad:0.9756297492944953
INFO:root:loss:4.848567485809326 pr_loss:0.581967294216156 m_loss:4.266600131988525 grad:1.3758901474272627
INFO:root:loss:4.7093400955200195 pr_loss:0.5636545419692993 m_loss:4.14568567276001 grad:1.0712300840831757
INFO:root:loss:4.521765232086182 pr_loss:0.5182085633277893 m_loss:4.003556728363037 grad:1.2782422438936358
INFO:root:loss:4.09169864654541 pr_loss:0.3588152229785919 m_loss:3.7328834533691406 grad:1.41043218298037
INFO:root:loss:4.533876419067383 pr_loss:0.4042709767818451 m_loss:4.129605293273926 grad:1.3854946035426001
INFO:root:loss:4.449099540710449 pr_loss:0.458221435546875 m_loss:3.990877866744995 grad:1.2264233183955326
INFO:root:loss:4.570933818817139 pr_loss:0.5657413601875305 m_loss:4.005192279815674 grad:1.0367812500333204
INFO:root:loss:4.231744766235352 pr_loss:0.36207374930381775 m_loss:3.869670867919922 grad:0.9400903092697221
INFO:root:loss:4.095324993133545 pr_loss:0.29538866877555847 m_loss:3.799936532974243 grad:0.9599609143973183
INFO:root:loss:4.543920516967773 pr_loss:0.6023268699645996 m_loss:3.941593647003174 grad:1.7641322949941531
INFO:root:loss:4.363218307495117 pr_loss:0.49658524990081787 m_loss:3.8666329383850098 grad:1.0701158136650912
INFO:root:loss:4.52154016494751 pr_loss:0.5101364254951477 m_loss:4.011403560638428 grad:1.2034718846870902
INFO:root:loss:4.371738910675049 pr_loss:0.5646960139274597 m_loss:3.8070430755615234 grad:1.256896927290143
INFO:root:loss:3.727174758911133 pr_loss:0.375954806804657 m_loss:3.351219892501831 grad:1.239421982291591
